"Frequency Output","Frequency Input","FCC Callsign","Agency/Category","Description","Alpha Tag","PL Tone","Mode","Class Station Code","Tag"
"151.535","159.5175","WQPI648 ","Rutherford ","Public Works  Digital","DPW 1","CC 1|TG *|SL *","DMR","RM","Public Works"
"151.625","0","","Midland Park ","Public Works Operations ICE Channel","MP DPW","266 DPL","FMN","BM","Public Works"
"151.775","0","WPBA642","Teterboro Airport TEB Business Operations","First Aviation 1","Frst Avi 1","88.5 PL","FM","BM","Business"
"151.97","0","","Hillsdale","Police 2 ","PD 2 ","664 DPL","FMN","BM","Law Tac"
"151.985","0","WQTS488","Bogota ","DPW 1 New","Bogota DPW 1","114.8 PL","FMN","BM","Public Works"
"152.27","0","","Businesses Bergen Performing Arts Center Englewood","Production  Stage Hands","BPAC Prod","94.8 PL","FMN","M","Business"
"152.27","157.53","KNCG468","Businesses Other","Black and White Taxi Englewood","BW Taxi","","FMN","RM","Transportation"
"152.4725","157.6875","WQWT834","East Rutherford ","Public Works New","DPW (New)","","FMN","RM","Public Works"
"152.87","0","WQPM798","Ramsey ","Public Works","Ramsey DPW","123.0 PL","FMN","RM","Public Works"
"153.2375","0","WPOY784","Palisades Park ","Police Primary","Police Pri","82.5 PL","FMN","BM","Law Dispatch"
"153.3875","159.9375","WPOY784","Palisades Park ","Fire Dispatch  Operations","Fire","186.2 PL","FMN","RM","Fire Dispatch"
"153.4475","0","WPRT348","Palisades Park ","Police Ch 1 ","Police 1","82.5 PL","FMN","BM","Law Tac"
"153.5975","151.025","WQVG847 ","WoodRidge","Fire Response  Operations 2","FD Rsp/Ops 2","100.0 PL","FMN","RM","Fire-Tac"
"153.77","0","WQAY854","Little Ferry ","Fireground ","FD FG","173.8 PL","FM","M","Fire-Tac"
"153.77","0","WPMQ698","Saddle River ","Saddle River Valley Rescue Squad","SRV RSQ","233.6 PL","FM","BM","EMS-Talk"
"153.815","0","KD29123","New Milford ","Fireground Local","Fireground","107.2 PL","FMN","M","Fire-Tac"
"153.83","0","WPIE992","Alpine ","Fire Mutual Aid","Fire 7","","FMN","M","Fire-Talk"
"153.83","0","WPVJ670","Bergenfield ","Fire 3 Fireground","BField FD 3","77.0 PL","FMN","M","Fire-Tac"
"153.83","0","WNHL705","Central Communications","Woodcliff Lake Fireground","TB WLFG","146.2 PL","FMN","M","Fire-Tac"
"153.83","0","WNHL705","Central Communications","FAST Mobile","TB FAST","173.8 PL","FMN","M","Fire-Tac"
"153.83","0","","East Bergen Firefighters Mutual Aid Association","Fireground  Line 4","EBFMAA F-4","88.5 PL","FMN","BM","Fire-Tac"
"153.83","0","","Fort Lee","Fire  Fireground","FD 3","88.5 PL","FM","M","Fire-Tac"
"153.83","0","KYU903","Hackensack ","Fireground 2","FG 2","532 DPL","FMN","M","Fire-Tac"
"153.83","0","","Norcon Mutual Aid","OPERATIONS 2 USED IF OPERATIONS 1 IN USE","NorconOps2","123.0 PL","FM","","Fire-Tac"
"153.83","0","","Palisades Park ","Fireground 4","PP FD Line 4","88.5 PL","FMN","M","Fire-Tac"
"153.83","0","KC4590","Ramsey ","Fireground","FD / FG","123.0 PL","FM","M","Fire-Tac"
"153.83","0","WQH737","Waldwick ","Fireground Operations","Fire 4","123.0 PL","FMN","BM","Fire-Tac"
"153.875","0","KNCD561","Ramsey ","Fireground","FD / FG","173.8 PL","FM","M","Fire-Tac"
"153.89","0","WNHL705","Central Communications","Fire Ch 3","TB Fire 3","173.8 PL","FMN","BM","Fire-Tac"
"153.89","0","WQEM323 ","Leonia ","Fire Ground","FD FG","","FMN","M","EMS-Tac"
"153.905","0","WPCZ970","South Hackensack ","DPW","DPW","141.3 PL","FM","BM","Public Works"
"153.935","0","WNFW365","Utilities Utilities ","Bergen Co Utilities Auth Little Ferry","BCUA  LF","127.3 PL","FM","BM","Utilities"
"153.95","0","WPSI296","Haworth ","Fire Training","Haworth FD T","210.7 PL","FM","BM","Fire-Tac"
"153.965","0","WPMN657","Fairview ","Police","2","192.8 PL","FMN","BM","Law Talk"
"153.9875","0","WPRW378","HoHoKus","DPW","DPW","365 DPL","FMN","BM","Public Works"
"153.995","0","KNGG363","Hackensack ","Police Traffic","PD 3 Traffic","173.8 PL","FMN","BM","Law Tac"
"154.01","0","KCN856","Carlstadt","Fireground","Carls FG","156.7 PL","FMN","M","Fire-Tac"
"154.025","0","KNCD561","Ramsey ","FireEMSRescue Dispatch","FD Disp","107.2 PL","FMN","BM","Fire Dispatch"
"154.04","0","KDS644","Maywood ","Maywood Fire Police  Public Works","Fire PD/DPW","192.8 PL","FMN","BM","Multi-Dispatch"
"154.055","0","WPLD307","Services","Dept Of HumanServices  Childrens Shelter","BC DHS ","","FMN","M","Public Works"
"154.07","0","WQKP681","Lyndhurst ","Lyndhurst Twp Area Command 1","LY-ETS-1","054 DPL","FMN","BM","Interop"
"154.07","0","","Norcon Mutual Aid","FAST TEAM FAST TEAM OPERATIONS","NorconFast","123.0 PL","FM","","Fire-Tac"
"154.07","0","WQH737","Waldwick ","Fire Operations FAST Teams","Fire 6","123.0 PL","FMN","BM","Fire-Tac"
"154.085","151.4825","KDT376","North Arlington ","Fire Pagers  Public Works","FD / DPW","110.9 PL","FMN","RM","Multi-Dispatch"
"154.1","0","WZU257","Closter ","DPW","DPW","171.3 PL","FMN","BM","Public Works"
"154.1","0","KGU978","Hackensack ","Public Works also used by EMS","DPW","173.8 PL","FMN","BM","Public Works"
"154.115","158.895","WNSV989","Lyndhurst ","Police 1 P25","PD 1 P25","761 NAC","P25","RM","Law Dispatch"
"154.115","158.895","WNSV989","Lyndhurst ","PD 1 Police Dispatch  EMS Dispatch Days 0600  1800","PD/EMS Disp","431 DPL","FMN","RM","Multi-Dispatch"
"154.145","0","","Allendale","Fire Operations 1","Alndale FD 4","107.2 PL","FMN","BM","Fire-Tac"
"154.145","0","","HoHoKus","Fireground","Operations 1","107.2 PL","FMN","BM","Fire-Tac"
"154.145","0","","Norcon Mutual Aid","OPERATIONS 1 FIREGROUND OPS","NorconOps1","107.2 PL","FM","","Fire-Tac"
"154.145","0","WQH737","Waldwick ","Fireground Operations","Fire 5","107.2 PL","FMN","BM","Fire-Tac"
"154.145","0","WQH737","Wyckoff ","NORCON Operations 1 Major Incidents","NORCON Ops1","107.2 PL","FMN","BM","Fire-Talk"
"154.16","0","WPIE992","Alpine ","Fire Dispatch","Fire 1","71.9 PL","FMN","BM","Fire Dispatch"
"154.16","0","KCN856","Carlstadt","Fire Ch 1  Dispatch","CarlsFD1Disp","146.2 PL","FMN","BM","Fire Dispatch"
"154.16","158.88","KBT809","Closter ","Fire Dispatch","Fire Disp","71.9 PL","FMN","RM","Fire Dispatch"
"154.16","0","KBT809","Demarest","Fire Disp","Fire Disp","71.9 PL","FMN","BM","Fire Dispatch"
"154.16","0","WQBR275","East Rutherford ","Fire  Dispatch","Fire","146.2 PL","FMN","BM","Fire Dispatch"
"154.16","0","KJB888","Fire","Fire Dispatch","Fire Disptch","156.7 PL","FMN","BM","Fire Dispatch"
"154.16","0","KGW760","Harrington Park ","Fire Dispatch","FD Dispatch","71.9 PL","FM","BM","Fire Dispatch"
"154.16","0","KDS612","Hasbrouck Heights ","Fire 1","Fire 1","136.5 PL","FM","BM","Fire Dispatch"
"154.16","0","WPSI296","Haworth ","Fire Ch 6 Dispatch","Haworth FD 6","71.9 PL","FM","BM","Fire Dispatch"
"154.16","0","WQAY854","Little Ferry ","South Bergen Mutual Aid Net ","FD SBMA","146.2 PL","FM","M","Fire-Talk"
"154.16","153.95","KDN950","Lyndhurst ","FD 1 Dispatch  EMS Alternate Dispatch Nights 1800  0600","FD/EMS Alt","146.2 PL","FMN","RM","Fire Dispatch"
"154.16","0","KFZ860","Moonachie ","Fire Dispatch","Fire 1 Disp","146.2 PL","FM","BM","Fire Dispatch"
"154.16","0","KGW664","New Milford ","Fire Dispatch","FD Disp","82.5 PL","FMN","BM","Fire Dispatch"
"154.16","0","","Northern Valley Interboro Fire","Fire Dispatch","NV FD Disp","71.9 PL","FMN","BM","Fire Dispatch"
"154.16","0","KNHU632","Northvale ","Fire Dispatch","FD Disp","71.9 PL","FM","BM","Fire Dispatch"
"154.16","0","KNCC995","Norwood ","Fire  EMS Dispatch","FD/EMS Disp","71.9 PL","FM","BM","Fire Dispatch"
"154.16","0","KDF533","Oradell ","Fire","Fire 154.16","82.5 PL","FMN","BM","Fire Dispatch"
"154.16","0","KNFQ713","River Edge ","River Edge  Fire Dispatch","RE FD1","82.5 PL","FMN","BM","Fire Dispatch"
"154.16","153.77","KCR939","Rutherford ","Fire Ch 1 Dispatch","Rthrfrd FD 1","167.9 PL","FMN","RM","Fire Dispatch"
"154.16","153.95","","South Bergen County Fire Mutual Aid Net","Fire 1 Repeater  Dispatch","Fire 1 / R ","146.2 PL","FM","RM","Fire Dispatch"
"154.16","0","","South Bergen County Fire Mutual Aid Net","Fire 2 Repeater Talk Around","Fire 2 Splx","146.2 PL","FM","BM","Fire-Talk"
"154.16","0","KSZ272","South Hackensack ","Fire","FD Disp","141.3 PL","FM","BM","Fire Dispatch"
"154.16","0","","TriBoro South","TriBoro South","TriBoro South","82.5 PL","FMN","BM","Fire Dispatch"
"154.16","0","WPLS997","Wallington ","FD 1 FireEMS Dispatch","Fire/EMSDisp","146.2 PL","FMN","BM","Fire Dispatch"
"154.16","0","WNJU329","WoodRidge","Fire Dispatch","Fire Disp","146.2 PL","FMN","BM","Fire Dispatch"
"154.175","0","KJE944","Allendale","Fire 1","Alndale FD 1","123.0 PL","FMN","BM","Fire-Tac"
"154.175","0","","Franklin Lakes ","Fireground","FrnkLk FG","123.0 PL","FM","M","Fire-Tac"
"154.175","0","","Glen Rock","Fire Mutual Aid","GR FD / MA ","123.0 PL","FM","M","Fire-Talk"
"154.175","0","WQO455","Midland Park ","Fireground Operations","MP FD Ops","123.0 PL","FMN","BM","Fire-Tac"
"154.175","0","","Norcon Mutual Aid","FIRE 1 PRIMARY","NorconFire1","123.0 PL","FM","","Fire Dispatch"
"154.175","153.95","KC4590","Ramsey ","Fire Operations","FD Ops","123.0 PL","FM","RM","Fire-Talk"
"154.175","0","WQF734","Waldwick ","Fire Primary","Fire 1","123.0 PL","FMN","BM","Fire-Tac"
"154.19","0","KDN950","Lyndhurst ","Sta 32 7 Scubba Team","FD Sta 32 7","179.9 PL","FMN","M","Fire-Tac"
"154.205","159.075","KDS612","Hasbrouck Heights ","Fire Response ","Fire Resp","205 DPL","FMN","RM","Fire-Talk"
"154.205","0","KEH513","Saddle River ","Fireground","FD FG","233.6 PL","FM","M","Fire-Tac"
"154.205","159.075","","South Bergen County Fire Mutual Aid Net","Wood Ridge  Hasbrouck Hts Fire Repeater","WWHH F Rptr","205 DPL","FM","RM","Fire-Talk"
"154.205","0","WNJU329","WoodRidge","Fire Mutual  Aid","FD / MA","205 DPL","FMN","BM","Fire-Tac"
"154.22","0","WPVJ670","Bergenfield ","Fire 4 Coordination  Mutual Aid","BField FD 4","77.0 PL","FMN","BM","Fire-Talk"
"154.22","151.265","WPHR379","Central Communications","Fire Ch 1","TB Fire 1","173.8 PL","FMN","RM","Fire-Tac"
"154.22","0","WNYS981","Ridgefield Park ","Fire","FD ","107.2 PL","FMN","RM","Fire-Tac"
"154.235","0","WQBR275","East Rutherford ","Fire  VHF Backup","Fire Backup","146.2 PL","FMN","BM","Fire-Tac"
"154.235","0","","Hillsdale","Fire Ch 5 ","FD 5","156.7 PL","FM","BM","Fire-Tac"
"154.235","0","WQAY854","Little Ferry ","Mutual Aid PL depends on MA reponse","FD MA","","FM","M","Fire-Tac"
"154.235","0","KFZ860","Moonachie ","Fire 2 ","Fire 2 ","229.1 PL","FMN","BM","Fire-Talk"
"154.235","0","","Pascack Valley Area Fire","Hillsdale Fireground","Hillsdale FD","156.7 PL","FMN","M","Fire-Tac"
"154.235","0","","South Bergen County Fire Mutual Aid Net","Fire Officers  Command Authority","FDOfficers","465 DPL","FM","BM","Fire-Tac"
"154.25","159.09","WPMF280","Franklin Lakes ","Fire Dispatch Fire 1","FrnkLk Fire1","79.7 PL","FMN","RM","Fire Dispatch"
"154.265","0","WPAU435  ","Allendale","Fire Response 2","Alndale FD 2","123.0 PL","FMN","BM","Fire-Tac"
"154.265","0","WPIE992","Alpine ","Fire Operations","Fire 2","71.9 PL","FMN","BM","Fire-Tac"
"154.265","0","WNHL705","Central Communications","Fire Ch 4 Park Ridge Fire Ground","TB Fire 4","173.8 PL","FMN","BM","Fire-Tac"
"154.265","0","WNAV468","Closter ","Fire Ch 2","Fire 2","71.9 PL","FMN","BM","Fire-Talk"
"154.265","0","KDN950","Demarest","Fire 2","Fire 2","71.9 PL","FMN","BM","Fire-Tac"
"154.265","0","","Glen Rock","Fire 2","GR FD 2 ","123.0 PL","FM","M","Fire-Tac"
"154.265","0","WQRI396 ","Harrington Park ","Fire Fire Ground","2","71.9 PL","FM","BM","Fire-Tac"
"154.265","0","","Haworth ","Fire Ch 2 Fireground 2","Haworth FD 2","71.9 PL","FM","M","Fire-Tac"
"154.265","0","KDN950","Lyndhurst ","Sta 32  4 Fireground","FD Sta 32 4","192.8 PL","FMN","BM","Fire-Tac"
"154.265","0","","Norcon Mutual Aid","RESPONSE 2 USED IF RESPONSE 1 IN USE","NorconResp2","123.0 PL","FM","","Multi-Talk"
"154.265","0","","Northern Valley Interboro Fire","Fire Ground 2 North","NV FG 2 North","71.9 PL","FMN","M","Fire-Tac"
"154.265","0","KDN950","Northvale ","Fire","2","71.9 PL","FM","BM","Fire-Tac"
"154.265","0","WNAV468","Norwood ","Fire 2","Fire 2","71.9 PL","FM","M","Fire-Tac"
"154.265","0","KDN950","Oradell ","Fire","Fire 154.265","71.9 PL","FM","BM","Fire-Tac"
"154.265","0","","Pascack Valley Area Fire","Park Ridge Fireground","PrkRidge FD","173.8 PL","FMN","M","Fire-Tac"
"154.265","0","WQQ940","Ridgewood ","Fire Secondary","RW Fire 2","123.0 PL","FMN","BM","Fire-Tac"
"154.265","0","","South Bergen County Fire Mutual Aid Net","Fire 4 Fireground","Fire 4","210.7 PL","FM","BM","Fire-Tac"
"154.265","0","WQH737","Waldwick ","Fire Response 2","Fire 3","CSQ","FMN","BM","Fire-Talk"
"154.28","0","KJE944","Allendale","Fire Response 1","Alndale FD 3","CSQ","FMN","BM","Fire-Tac"
"154.28","0","KJE944","Alpine ","Fire Mutual Aid","Fire 6","156.7 PL","FMN","BM","Fire-Talk"
"154.28","0","WQBJ762","Demarest","Fire 5 County Wide Mutual Aid","Fire 5","156.7 PL","FMN","BM","Fire-Talk"
"154.28","0","","East Bergen Firefighters Mutual Aid Association","Countywide  Line 2","EBFMAA F-2","156.7 PL","FMN","BM","Fire-Tac"
"154.28","0","KJB888","Fire","Ch 13 Countywide Interop","Fire 13","156.7 PL","FMN","BM","Fire-Tac"
"154.28","0","","Franklin Lakes ","Fireground Response 1","FrnkLk Resp1","123.0 PL","FM","","Fire-Tac"
"154.28","0","","Haworth ","Fire Ch 7 Countywide Fireground","Haworth FD 7","156.7 PL","FM","M","Fire-Tac"
"154.28","0","","HoHoKus","Fire Command","Response 1","123.0 PL","FMN","BM","Fire-Tac"
"154.28","0","WQAY854","Little Ferry ","Fire Mutual Aid To County","FD MA Co","156.7 PL","FM","M","Fire-Tac"
"154.28","0","KDN950","Lyndhurst ","Sta 32 10 Bergen Co Mutual Aid","FD Sta 32 10","156.7 PL","FMN","M","Fire-Tac"
"154.28","0","","Norcon Mutual Aid","COUNTYWIDE FIRE COUNTY MUTUAL AID","NorconCW","156.7 PL","FM","","Fire Dispatch"
"154.28","0","","Norcon Mutual Aid","RESPONSE 1 RESPONDING UNITS","NorconResp1","123.0 PL","FM","","Multi-Talk"
"154.28","0","KCR939","Rutherford ","Fire Ch 3 Fireground","Rthrfrd FD 3","156.7 PL","FMN","M","Fire-Tac"
"154.28","0","","South Bergen County Fire Mutual Aid Net","Fire 3 Fireground","Fire 3 ","156.7 PL","FM","BM","Fire-Tac"
"154.28","0","WQF734","Waldwick ","Fire Response 1","Fire 2","123.0 PL","FMN","BM","Fire-Tac"
"154.28","0","WQH737","Wyckoff ","NORCON Response 1 Major Incidents","NORCON Res1","123.0 PL","FMN","M","Fire-Talk"
"154.295","0","KCN856","Carlstadt","Fire Response Secondary","CarlsFDResp2","156.7 PL","FMN","BM","Fire-Tac"
"154.295","0","KDN950","Lyndhurst ","Sta 32  5 Fireground","FD Sta 32 5","210.7 PL","FMN","BM","Fire-Tac"
"154.295","0","","Pascack Valley Area Fire","River Vale Fireground","RiverVale FD","100.0 PL","FMN","M","Fire-Tac"
"154.295","0","","River Vale ","Fire Ground","FD FG","100.0 PL","FMN","M","Fire-Tac"
"154.295","0","","South Bergen County Fire Mutual Aid Net","Fire 5 Fireground","Fire 5","210.7 PL","FM","BM","Fire-Tac"
"154.295","0","WPLS997","Wallington ","FD 2 Fireground","FD 2 FG","210.7 PL","FMN","BM","Fire-Tac"
"154.295","0","WPLS997","Wallington ","FD 15 Fireground Mutual Aid Carlstadt","FD 15  FG","156.7 PL","FMN","BM","Fire-Tac"
"154.31","0","WPIV285","Glen Rock","Fire","GR FD Disp","123.0 PL","FM","BM","Fire Dispatch"
"154.31","0","WPOX939","Moonachie ","EMS Disp   Moonachie V A C","EMS Disp","85.4 PL","FM","BM","EMS Dispatch"
"154.31","0","WPIV285","Northwest Bergen Central Dispatch","Glen RockRidgewood Fire and EMS","NW B FD/EMS","123.0 PL","FMN","BM","Fire Dispatch"
"154.31","0","WQQ940","Ridgewood ","Fire Operations","RW Fire 3","123.0 PL","FMN","BM","Fire-Tac"
"154.325","0","WPWT299","Emerson ","Fire Command","FD Command","299 NAC","P25","M","Fire-Tac"
"154.34","0","WQKP681","Lyndhurst ","Lyndhurst Twp Area Command 2","LY-ETS-2","074 DPL","FMN","BM","Interop"
"154.3475","150.7825","WPQY222","Wyckoff ","Fire Tactical Fire Police","FD TAC-FP","192.8 PL","FMN","RM","Fire-Tac"
"154.355","0","","East Bergen Firefighters Mutual Aid Association","Fire Dispatch  Line 3","EBFMAA F-3","186.2 PL","FMN","BM","Fire Dispatch"
"154.355","0","KNFJ308","Englewood Cliffs ","Fire Dispatch","EngClfs FD","186.2 PL","FMN","BM","Fire Dispatch"
"154.355","0","KTJ537","Fairview ","Fire Dispatch","FD Disp","186.2 PL","FM","BM","Fire Dispatch"
"154.355","0","KCP610","Fort Lee","Fire  Mutual Ad","FD 2","186.2 PL","FM","BM","Fire-Tac"
"154.355","0","WQEM323 ","Leonia ","Fire","FD Disp","186.2 PL","FM","BM","Fire Dispatch"
"154.355","0","KUY364","Ridgefield","Fire","FD Disp","186.2 PL","FM","BM","Fire Dispatch"
"154.355","0","WPLS997","Wallington ","FD 3 Fireground Interior","FD 3 Inter","206.5 PL","FMN","BM","Fire-Tac"
"154.37","0","WPHM565","Cresskill ","Fireground","Fireground","123.0 PL","FMN","BM","Fire-Tac"
"154.37","0","KDN950","Lyndhurst ","Station 32 Fire12","FDSta 32 1/2","206.5 PL","FMN","RM","Fire-Talk"
"154.385","0","KYU903","Hackensack ","Fire Dispatch","FD Dispatch","532 DPL","FMN","RM","Fire Dispatch"
"154.4","0","WPHM565","Cresskill ","Fire Dispatch ","FD Disp","123.0 PL","FMN","BM","Fire Dispatch"
"154.415","0","","Alpine ","Fire 3","Fire 3","210.7 PL","FMN","M","Fire-Tac"
"154.415","0","WQBJ762","Demarest","Fire 3 ","Fire 3 ","210.7 PL","FMN","BM","Fire-Tac"
"154.415","0","WPSI296 ","Haworth ","Fire Ch 3 Fireground 4","Haworth FD 4","210.7 PL","FM","M","Fire-Tac"
"154.415","0","","Northern Valley Interboro Fire","Fire Ground 3 South","NV FG 3 South","210.7 PL","FMN","M","Fire-Tac"
"154.415","0","","Norwood ","Fire 3","Fire 3","210.7 PL","FM","M","Fire-Tac"
"154.445","0","KED411","Cliffside Park ","Fire Dispatch","FD 1 Disp","118.8 PL","FMN","BM","Fire Dispatch"
"154.445","0","","East Bergen Firefighters Mutual Aid Association","Fire Dispatch  Line 1","EBFMAA F-1","146.2 PL","FMN","BM","Fire Dispatch"
"154.445","0","KEF825","Edgewater ","Fire Dispatch","FD Disp","141.3 PL","FM","BM","Fire Dispatch"
"154.445","0","WPOX461","Englewood ","East Bergen Fire Mutual Aid","EBMA Fire","146.2 PL","FMN","BM","Fire-Tac"
"154.445","0","KCP610","Fort Lee","Fire Dispatch","FD 1","146.2 PL","FM","BM","Fire Dispatch"
"154.6","0","","Maywood ","Maywood Fire Police","Fire Police","192.8 PL","FM","BM","Fire-Tac"
"154.74","0","KEC626","Lodi","Police Local  TS Back Up","PD 1 VHF","141.3 PL","FMN","BM","Law Talk"
"154.7625","153.9725","WQQ940","Glen Rock","Glen Rock  Ridgewood FIREEMS 2","GR FD/EMS 2","503 DPL","FMN","RM","Multi-Dispatch"
"154.7625","153.9275","WQQ940","Ridgewood ","RidgewoodGlen Rock FIREEMS 2","RW Fire 4","503 DPL","FMN","RM","Multi-Dispatch"
"154.77","150.79","WQPM855","Old Tappan ","DPW","DPW","152 DPL","FMN","RM","Public Works"
"154.8","156.075","WPKP528","Bergenfield ","Police Dispatch","Police 1Disp","734 DPL","FMN","RM","Law Dispatch"
"154.8225","159.0525","WPMP593","South Hackensack ","Police","PD Disp","205 DPL","FMN","RM","Law Dispatch"
"154.8375","0","KDF533","Oradell ","Fireground","Fireground","162 DPL","FMN","M","Fire-Tac"
"154.845","158.955","WNBT663","WoodRidge","Police","Police","205 DPL","FMN","RM","Law Dispatch"
"154.86","0","","Alpine ","Fire 4","Fire 4","151.4 PL","FMN","M","Fire-Tac"
"154.86","0","WQBJ762","Demarest","Fire 4 ","Fire 4 ","151.4 PL","FMN","BM","Fire-Tac"
"154.86","0","","Haworth ","Fire Ch 4 Fireground 5","Haworth FD 5","151.4 PL","FM","M","Fire-Tac"
"154.86","0","","Northern Valley Interboro Fire","Fire Ground 4  ","NV FG 4","151.4 PL","FMN","M","Fire-Tac"
"154.86","0","WGC635","Norwood ","Fire 4","Fire 4","151.4 PL","FM","M","Fire-Tac"
"154.875","0","WPOX461","Englewood ","Fire Tactical","Englw FD 3","065 DPL","FMN","M","Fire-Tac"
"154.89","0","KNCV394","Palisades Interstate Park Commission","Police 2 Back Up","PIP PD 2","151.4 PL","FMN","BM","Law Tac"
"154.8975","0","WQQ940","Ridgewood ","Village Shared Tactical CHARLIE","RW TAC C","116 DPL","FMN","BM","Multi-Tac"
"154.95","0","KNDG603","Old Tappan ","Police 7","PD 7","","FMN","M","Law Tac"
"154.95","0","","River Vale ","Police voice inversion","PD 5","210.7 PL","FMN","M","Law Tac"
